페이지,게시글번호,말머리,제목,내용,글쓴이,추천수,조회수,날짜,링크
4,2777,,역시 돈 쓰는건,이 학교 설립한 김장하선생처럼 해야,"ㅇㅇ(14.44) 2023.01.10 01:37:22
스크랩 조회 149 추천 4 댓글 0",4,149,2023.01.10 01:37:22,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2777&page=4
4,2776,,한국이 국뽕 맞을만한게 맞는듯,"https://youtu.be/nRQIIEDmQ_8

2주전에 봤긴 한데 여기 나온거 보면 ㄹㅇ 잘나가는듯","Pepsi-Man 2023.01.07 02:02:57
스크랩 조회 171 추천 0 댓글 1",0,171,2023.01.07 02:02:57,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2776&page=4
4,2775,,오늘의 노래 추천,"https://youtu.be/jPan651rVMs
조지 노래중에 제일 좋아하는 노래","Pepsi-Man 2023.01.06 21:26:34
스크랩 조회 98 추천 0 댓글 0",0,98,2023.01.06 21:26:34,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2775&page=4
4,2774,,ㅅㅈ 요즘 mz 의 트렌드 볼려고 모든 인터넷 다 봤는데,레딧이나 4챈이나 여시나 근이나 등등 다 봤는데 옛날에 했던거 반복이너,"Pepsi-Man 2023.01.01 23:04:01
스크랩 조회 169 추천 0 댓글 1",0,169,2023.01.01 23:04:01,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2774&page=4
4,2773,,2023년 입갤,아무것도 한거 없이 23년 ㅗㅜㅑ,"Pepsi-Man 2023.01.01 00:09:52
스크랩 조회 136 추천 0 댓글 0",0,136,2023.01.01 00:09:52,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2773&page=4
4,2772,,오늘의 노래 추천,"https://youtu.be/KPUSzO2-a6I

빈지노의 토요일의 끝에서의 환상적인 콜라보","Pepsi-Man 2022.12.28 00:26:00
스크랩 조회 147 추천 0 댓글 3",0,147,2022.12.28 00:26:00,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2772&page=4
4,2771,,오늘의 노래 추천,"https://youtu.be/E8gmARGvPlI

커플 뒤져","Pepsi-Man 2022.12.24 22:14:53
스크랩 조회 96 추천 0 댓글 0",0,96,2022.12.24 22:14:53,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2771&page=4
4,2770,,좆주도 탈출 실패,"눈보라 시바꺼
- dc official App","예상왕김예상 2022.12.23 03:10:01
스크랩 조회 132 추천 0 댓글 0",0,132,2022.12.23 03:10:01,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2770&page=4
4,2769,,오늘의 노래 추천,"https://youtu.be/vx2u5uUu3DE

본-조비","Pepsi-Man 2022.12.23 00:36:40
스크랩 조회 110 추천 0 댓글 1",0,110,2022.12.23 00:36:40,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2769&page=4
4,2768,,이거 아무것도 안나와도 19새 인거 ㄹㅇ 이상함,"https://youtu.be/C58r5U0IMbk

유튭 정책은 아무리 생각해도 모르겠너


https://www.youtube.com/watch?v=zwT6DZCQi9k


이게 19세인데","Pepsi-Man 2022.12.21 01:52:03
스크랩 조회 157 추천 0 댓글 1",0,157,2022.12.21 01:52:03,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2768&page=4
4,2766,,술마시고 노래추천 들가니까 안주가 따로 없노,"아카이브 들어가는 느낌
그러니까 이곳 보는 사람들은 노래 추천을 하도록","Pepsi-Man 2022.12.21 00:29:19
스크랩 조회 120 추천 0 댓글 1",0,120,2022.12.21 00:29:19,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2766&page=4
4,2765,,오늘의 노래 추천,"https://youtu.be/lWQ6Hg1YJeg
처음으로 누나 mp3로 들었던 노래
그때 이런 노래가 있다고 충격 받았다","Pepsi-Man 2022.12.20 23:22:57
스크랩 조회 84 추천 0 댓글 0",0,84,2022.12.20 23:22:57,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2765&page=4
4,2764,,오늘의 노래 추천,"https://youtu.be/JJcsnp285Tk

아직까지 좋아 하는 노래","Pepsi-Man 2022.12.14 20:41:40
스크랩 조회 128 추천 0 댓글 1",0,128,2022.12.14 20:41:40,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2764&page=4
4,2763,,오늘의 노래 추천,"https://youtu.be/CD-E-LDc384
누가 들어도 명곡일 거라는 명곡

처음에 master of puppet으로 이 밴드를 입문 했지만 이곡은 메탈리카의 최고의 띵곡이라고 할 수 있겠다","Pepsi-Man 2022.12.13 22:00:49
스크랩 조회 88 추천 0 댓글 0",0,88,2022.12.13 22:00:49,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2763&page=4
4,2762,,방금 꿈에서 1학년 2반 정명준 개새끼 존나 줘팬 썰푼다 ㅋㅋ,"나 메이플스토리 로스트 아크 던전엔 파이터 하는데 맨날 저 개새끼가 나 놀려서
꿈에서 메이플스토리 팬텀(잘생김 ㅎ) 능력 얻고 존나 팼음 ㅋㅋ","ㅇㅇ(110.13) 2022.12.12 01:27:59
스크랩 조회 498 추천 5 댓글 3",5,498,2022.12.12 01:27:59,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2762&page=4
4,2761,,유튭이 핑크가이 찐팬이라고 인정해줌,조지 노래 그전에 부터 좋아했는데 유튭 뮤직으로 안들어서 6.9 밖에 안되는듯,"Pepsi-Man 2022.12.01 22:49:27
스크랩 조회 147 추천 0 댓글 1",0,147,2022.12.01 22:49:27,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2761&page=4
4,2760,,오늘의 노래 추천,"https://youtu.be/0F6EQCfoi0o

처음 노래 출시할때 시사회 연 노래

나온지 오래 됐지만 갑자기 생각나서 올려봄","Pepsi-Man 2022.11.30 00:42:29
스크랩 조회 116 추천 0 댓글 1",0,116,2022.11.30 00:42:29,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2760&page=4
4,2759,,어제 후기,"사람 많더라
- dc official App","예상왕김예상 2022.11.18 09:57:26
스크랩 조회 142 추천 0 댓글 1",0,142,2022.11.18 09:57:26,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2759&page=4
4,2757,,오늘의 노래 추천,"https://youtu.be/2jKa_0xnTfU

보닌 중학생때 이 공연 유튜브에서 보고 락에 빠짐","Pepsi-Man 2022.11.07 22:48:22
스크랩 조회 85 추천 0 댓글 0",0,85,2022.11.07 22:48:22,https://gall.dcinside.com/mgallery/board/view/?id=myungshin&no=2757&page=4
